Cycle_Index,Capacity(Ah),SoH
1,2.264,100.0
2,1.687,74.51413427561839
3,1.666,73.58657243816255
4,1.647,72.74734982332156
5,1.633,72.12897526501767
6,1.625,71.77561837455832
7,1.607,70.98056537102474
8,1.598,70.58303886925796
9,1.583,69.92049469964665
10,1.57,69.34628975265018
11,1.562,68.99293286219083
12,1.548,68.37455830388693
13,1.531,67.62367491166079
14,1.51,66.69611307420496
15,1.504,66.43109540636043
16,1.483,65.5035335689046
17,1.468,64.84098939929329
18,1.452,64.13427561837456
19,1.435,63.383392226148416
20,1.414,62.455830388692576
21,1.399,61.79328621908128
22,1.38,60.95406360424028
23,1.367,60.37985865724382
24,1.344,59.363957597173155
25,1.324,58.48056537102474
26,1.303,57.553003533568905
27,1.281,56.581272084805654
28,1.261,55.69787985865724
29,1.241,54.81448763250884
30,1.217,53.754416961130744
31,1.197,52.87102473498234
32,1.178,52.03180212014134
33,1.16,51.23674911660777
34,1.139,50.30918727915194
35,1.122,49.558303886925806
36,1.1,48.58657243816255
37,1.082,47.79151943462898
38,1.068,47.1731448763251
39,1.043,46.06890459363957
40,1.022,45.14134275618375
41,1.007,44.47879858657244
42,0.991,43.77208480565372
43,0.976,43.109540636042404
44,0.956,42.226148409893995
45,0.945,41.74028268551237
46,0.927,40.94522968197881
47,0.902,39.84098939929329
48,0.887,39.178445229681984
49,0.874,38.60424028268552
50,0.868,38.33922261484099
51,0.847,37.411660777385165
52,0.829,36.61660777385159
53,0.82,36.21908127208481
54,0.804,35.51236749116609
55,0.793,35.026501766784456
56,0.778,34.36395759717315
57,0.767,33.87809187279152
58,0.755,33.34805653710248
59,0.738,32.59717314487633
60,0.73,32.24381625441696
61,0.719,31.757950530035338
62,0.71,31.360424028268554
63,0.701,30.96289752650177
64,0.69,30.47703180212014
65,0.682,30.123674911660782
66,0.675,29.81448763250884
67,0.671,29.637809187279156
68,0.656,28.97526501766785
69,0.646,28.533568904593643
70,0.64,28.26855123674912
71,0.633,27.959363957597176
72,0.623,27.51766784452297
73,0.613,27.075971731448767
74,0.607,26.810954063604242
75,0.598,26.413427561837455
76,0.595,26.280918727915196
77,0.589,26.01590106007067
78,0.582,25.706713780918726
79,0.575,25.397526501766787
80,0.563,24.867491166077738
81,0.561,24.779151943462903
82,0.552,24.381625441696116
83,0.548,24.204946996466436
84,0.536,23.67491166077739
85,0.531,23.454063604240286
86,0.532,23.498233215547707
87,0.524,23.144876325088344
88,0.519,22.92402826855124
89,0.514,22.703180212014136
90,0.507,22.393992932862194
91,0.503,22.21731448763251
92,0.494,21.819787985865727
93,0.497,21.952296819787986
94,0.491,21.687279151943464
95,0.483,21.3339222614841
96,0.48,21.20141342756184
97,0.473,20.892226148409897
98,0.468,20.671378091872793
99,0.461,20.36219081272085
100,0.456,20.141342756183747
101,0.451,19.920494699646646
